tweetText,stance_israel,authorUsername
Leave it to Joe Biden to take unprecedented action to abandon our great friend Israel while they're under attack. This does nothing but signal to Hamas and their sympathizers that the United States will appease terrorists.,1,@SenRickScott
"Trump showed how to secure the border without Mexico holding border security cooperation hostage in exchange for extracting absurd demands. Biden and Mayorkas dismantled his successful policies, & we’re seeing the results. They can fix this problem, but they don’t want to. (2/3)",0,@SenatorHagerty
"Today, I was proud to join thousands on our National Mall for the March for Israel. We cannot be silent until every hostage is returned home and antisemitic terrorism is defeated. 

I will always stand with Israel. ",1,@RepLangworthy
" Americans in Israel

Contact the 
@usembassyjlm
:
Online through a crisis intake form at http://cacms.state.gov/s/crisis-intake
By phone at 1-833-890-9595

Enroll in the Smart Traveler Enrollment Program at http://step.state.gov/step/.

Find the latest updates at http://state.gov/israel-under-attack-latest-updates….",0,@RepCiscomani
"This attack, on International Holocaust Remembrance Day is a horrific reminder of why this day matters each year. We must continue to stand with Israel, and the Jewish people against antisemitism. God bless our Jewish brothers and sisters. https://timesofisrael.com/five-wounded-in-suspected-shooting-attack-in-jerusalem-assailant-shot/…",1,@RepAndyBarr
"Several constituents from AZ-05 were stranded in Israel when Hamas’s brutality unfolded. 


@RepMillsPress
 has been more effective than anyone in the Biden Administration in getting people home.

In fact, he is picking up another one of our families tomorrow. 

He is a hero!",1,@RepAndyBiggsAZ
"It’s been 79 days since Iran-backed Hamas terrorists took hundreds hostage.

When you open gifts and celebrate Christmas tonight, pray for those who only wish to have their loved ones return home. We must NEVER forget. #BringThemAllHome",1,@SenRickScott
Part of the reason the world is on fire in the Middle East and elsewhere is the Biden admin’s weakness and naivete.,0,@SenJohnKennedy
"I voted for 
@RepPfluger
’s resolution. We condemn antisemitism and stand with Israel. ",1,@RepArmstrongND
"As someone who’s called for a ceasefire for over a month, I’m relieved that this agreement will bring (at least) a temporary ceasefire, the release of many hostages and the ability to get more humanitarian aid into Gaza.",-1,@JoaquinCastrotx
"Rashida Tlaib’s antisemitic and vile lies have no place in Congress.

Yet, Democrat Leadership hasn’t condemned her comments. 

Do they also stand with Hamas terrorists?",1,@RepTiffany
"Right now Ecuador is experiencing an all-out cartel takeover. They’re executing hostages, taking over prisons, and stormed a news station on live TV.

Over the past 20 years cartels and drug traffickers have become far too powerful and more dangerous than ever.",0,@RepDanCrenshaw
We also talked about the current affairs in the Middle East and the role Saudi Arabia plays in the stabilization of the region.,0,@RepLisaMcClain
"It is in America’s interest that Hamas be obliterated. The terrorists wanting to wipe out Israel are the same people who chant “Death to America.”

We must continue to back our great ally Israel and their right to defend themselves, which is why I’ll be supporting the Israel…",1,@RepGregSteube
"The United States must maintain its commitment to defeating the spiderweb of tyranny and terror whenever it rears its ugly head against our people, our military, and our allies — wherever that may be. May God bless and protect our men and women in Liberty’s red, white, and blue.",1,@RepMarcyKaptur
"I continue to call on the Israeli government and Hamas to come back to the table to negotiate another temporary ceasefire to ensure the release of hostages, and facilitate the delivery of essential humanitarian aid to those who need it most.

Read my full statement:",-1,@RepLouCorrea
"... resulting in a Jewish, democratic Israel living side-by-side a viable, vibrant Palestinian state in peace, security and prosperity.",0,@RepSchneider
"Simply put, President Biden is calling for Israel and President Netanyahu to surrender to terrorists.",-1,@RepBobGood
"Biden has waged an all out war on the US energy sector.

This week, we push back. 
@HouseGOP
 is bringing a bill to the floor lifting restrictions on the import/export of LNG, while still prohibiting trade with parties under sanction or listed as a state sponsor of terrorism.",0,@RepMarkAlford
".
@SenToddYoung
 says his biggest AI nightmare is “the democratization of terror,” but still sees the technology as an “incredible upside opportunity.”

#CEOInitiative | http://trib.al/wR9ZQmz",0,@FortuneMagazine
"Israel must defend its citizens, Jewish, Muslim, and Christian, against terrorist cells in Jenin. The cycle of bloodshed must cease, and I pray that Israelis and Palestinians empower a new generation of leaders committed to two-states w/ security and economic opportunity for all.",0,@RepDeanPhillips
"I joined over 400 of my colleagues on a resolution condemning Hamas' savage attacks on Israel, and reiterating our support for our Middle Eastern ally and the Israeli people. This number speaks volumes. We will not be silent, and we will continue to stand with Israel.",1,@RepJuliaLetlow
"America stands with the people of 
@Israel
, our greatest ally in the Middle East, as they repel a widespread assault launched by Hamas terrorists today at the conclusion of the Jewish holiday of Sukkot. 

[1/4]",1,@SenDanSullivan
"Top officials in the Biden Administration claim that they’ve seen no evidence that the Iranian regime was involved in the recent horrific attacks by Palestinian terrorist again
st Israel. 

They should pick up a newspaper & read the terrorists’ own words.",1,@SenatorHagerty
"The House just PASSED my amendment to the No Funds for Iranian Terrorism Act to freeze all sanctioned Iranian assets permanently. 
This is the strongest sanctions bill against Iran ever to pass the House. The U.S. should not be funding terrorism. 
@RepublicanStudy
 
@repkevinhern",1,@RepPfluger
"Maya Goren, a kindergarten teacher, was setting up the Saturday morning Shabbat space for children in their kibbutz on October 7th when Hamas terrorists attacked. Her husband Avner was killed in their home that same day. She was taken captive and has been missing ever since.…",1,@SenatorRicketts
"This week, I had the privilege of joining 
@SenRickScott
  and leaders of our local Jewish community for a meaningful discussion about the dangerous rise of anti-Semitism throughout the country and the steps we must take to support our most steadfast ally, Israel.",1,@RepGusBilirakis
"Biden’s visiting East Palestine today.

It's been a total of 378 days since the toxic train disaster.

Too little, too late. Go home, Joe.",0,@RepEricBurlison
"Currently, the U.S. provides $3.8 billion a year to Israel with close to no strings attached.

President Biden has asked Congress for $14.3 billion more on top of that and to waive normal, already-limited oversight rules.

This blank check approach must end.",-1,@SenSanders
My team joined the Temple Israel in Catskill this evening to celebrate the second night of Chanukah. ,0,@RepMolinaroNY19
"A Preemptive Strike Against the Biden Administration


@RepTiffany
 tells Steve Bannon about a proposal that he and 
@RepOgles
 have put forward. The proposal calls on banning Palestinian refugees from the Gaza Strip who have Palestinian Authority passports from entering the United…",1,@RealAmVoice
"The Biden Administration greenlit the transfer of $6 billion to Iran in September. Weeks later, Iran-backed terrorist group Hamas launched a full-scale, barbaric attack on Israel. The timing of these events is hardly a coincidence.",1,@RepBalderson
"The continuing resolution that averted a government shutdown expires on Nov. 17. Government salaries, services and contracts are on the line, as are the lives of our friends in Israel and Ukraine. When will Republicans get serious and choose a new Speaker already? #GOPInDisarray",-1,@RepGlennIvey
"The House just passed a bill to show our support towards Israel and ensure our ally is getting the assistance it needs to defend itself against Hamas’ unprovoked terrorist attacks. 

This assault on Israel is horrific. 
@HouseGOP
 stands with Israel. ",1,@RepJerryCarl
"More appeasement foreign policy from the White House.

Iran is an adversary and a state sponsor of terrorism.

Any back-door agreement here is an attempt to skirt congressional oversight. Striking a deal with Tehran will only put our country and our partners in greater danger.",-1,@SenatorFischer
"This should go without question - illegal immigrants who participated in the October 7, 2023 attack on Israel should not be allowed to remain in our country, and should not be given immigration benefits.

Not only did their illegal entry into the U.S. break our laws, but their…",1,@RepJuliaLetlow
"I'm deeply disturbed by the shooting of three Palestinian-American college students in Vermont. My prayers are with each of them as they recover.

As the FBI investigates this senseless attack, we must all come together to reject hatred and bigotry.",0,@RepGregStanton
"What 
@SecBlinken
 won't tell you is these Palestinian ""civilians"" are sheltering Hamas terrorists and opening their homes to hold hostages. 

As I said, Israel shouldn't stop until ALL of Hamas is destroyed. It's past time this admin gets on board and stops providing cover for…",1,@SenRickScott
Deeply disappointed that our convoy with food for northern #Gaza was not allowed through today. But we will continue our efforts to get back there. Airdrops only last resort - massive flow of assistance is urgently needed to avert famine.,-1,@CarlSkau
"Our voices must be loud and clear: Rape and sexual violence are never acceptable tools of war.
 
Yesterday, community leaders joined me to announce the bipartisan resolution I'm leading with 150+ of my colleagues to forcefully condemn Hamas's use of rape as a tool of war. ",1,@RepLoisFrankel
"Erdogan's disturbing comments defending Hamas' atrocities, coupled with aligning himself with Iran's Raisi & Russia's Putin, cannot be overlooked by NATO. The international community MUST join us in condemning his repeated aggression, rhetoric & action.",1,@RepMalliotakis
"Hamas’ barbaric attempt to threaten the legitimacy of a Jewish state is abhorrent & must end. I proudly stood with my colleagues in Congress this week to pass H.Res. 771 to uphold Israel's right to defend itself, call on Hamas to end the violence, & to condemn Iran’s involvement.",1,@RepRutherfordFL
"I voted to censure Rep. Tlaib for her vile, inaccurate accusations against Israel & her failure to condemn Hamas’ murders of innocent Israelis. This rhetoric is unbecoming of a Member of Congress, especially as we support Israel in its fight to eradicate terrorists from the world",1,@rep_stevewomack
"Today, I'll vote yes on the No Funds for Iranian Terrorism Act to ensure that not a single dollar of the $6 billion in recently transferred Iranian financial assets goes to support terrorist groups, particularly Hamas.

It's past time to hold Iran accountable for their actions.",1,@RepWileyNickel
"Kevin McCarthy in 2019: ""We should not leave here without doing something on the debt ceiling""

Today, McCarthy announced the House will go on recess while he holds the economy hostage.

I’m willing to stay in DC until the deal is done, why are House Republicans not?",0,@RepCasten
"America must demand a change, a change in behavior from those who do not accept Israel's right to exist from those who actively seek the destruction of the State of Israel and murder innocent Israelis. Today I offered an amendment to do just that.",1,@RandPaul
"The Senate border bill is weak. It’s not even a step in the right direction. 

HR2 is the only real solution to the invasion of illegals, drugs and terrorists rolling over our southern border.",0,@RepClayHiggins
"Israeli civilians are facing an unprovoked attack by Hamas terrorists. 

The U.S. must continue to support Israel, our ally, as they defend themselves in this war. 

I stand with Israel ",1,@RepDaveJoyce
"Today we welcome the President of Israel  
@Isaac_Herzog
 to Congress to mark 75 years of close friendship between our two nations.

Arizona benefits from our strong ties to Israel—from trade & tech to water conservation—and we'll continue to partner closely with our enduring ally.",1,@RepGregStanton
"Remember when the mainstream media told you Joe Biden’s leadership would foster world peace? 

In reality, all it fostered was potential terrorist attacks.",-1,@RepTiffany
"Since Biden took office, 361 individuals whose names appear on the terrorist watchlist have been stopped trying to cross the Southern Border.

Imagine the ones we do not know about.

Joe Biden's failed border policies are severely jeopardizing our national security.",0,@RepDavidKustoff
"President Biden's radio silence on the Americans held hostage by Hamas terrorists is deafening.

Bring them home safely NOW!",1,@SenatorBraun
"On International Holocaust Remembrance Day, we remember the six million Jewish victims of the Holocaust and the millions of other victims affected by this horrific time in our history.",0,@RepLoudermilk
"Scoop: Andy Biggs is putting out a new bill to give $17.6B to Israel, offset by funding granted elsewhere by McCarthy/Biden debt limit deal

Comes after Chip Roy mentioned talks about possible Israel aid bill, but said it would need offsets/policy changes",1,@liz_elkind
"I stand shoulder to shoulder with the people of Israel as they respond to the barbaric, murderous rampage of Iranian-controlled Hamas.",1,@SenTedBuddNC
"With more journalists killed in 3 months in Gaza than have ever been killed in one country over the course of a year, urgent action is needed to protect press freedom and the lives of journalists in this conflict.


@janschakowsky
 and I are pushing for it.",-1,@GerryConnolly
"WATCH: Chairman 
@SenJohnBarrasso
 rebuts Chuck Schumer’s outrageous claim that the Prime Minister of Israel is an “obstacle to peace.”
 
Schumer is wrong.
 
“It is terrorists, rapists, and murderers of Hamas who are obstacles to peace.”",1,@SenateGOP
I’m proud to support this resolution and send a clear message to the world that the United States will always stand against terrorism.,1,@RepDLesko
"2/ Yehuda Beinin, the father of released hostage Liat Beinin whose relatives are from Waterford, CT, makes it clear: the hostages need our help before it’s too late. 

https://cnn.com/2023/12/23/opinions/israel-hostages-us-help-beinin/index.html…",1,@RepJoeCourtney
"As people continue to learn about loved ones who were killed by Hamas, we’re lucky to know that NJ native & Rutgers grad, Tali, is safe. 

Four years ago, she moved to Israel, never expecting a day like Oct. 7 would come.

Her story is a must read",1,@RepJoshG
"As the final candles’ glow fades, Hanukkah concludes, leaving us with the warmth of cherished moments and renewed hope. May the light and blessings of this holiday continue to illuminate our lives throughout the year. I hope my Jewish constituents had a happy Hanukkah!",0,@RepMikeLevin
"While the wars in Ukraine and Gaza dominate the news, the U.S. forever war in Niger grinds on.

Since the U.S. began counterterrorism efforts in the region, terrorist violence has jumped 30,000% (not a typo!)

This summer U.S.-trained officers overthrew the government.",0,@nickturse
"There is nothing hypothetical about 
@POTUS
's ignorant energy policy. Cutting domestic oil production and granting sanctions waivers to our enemies emboldens sponsors of terror.",1,@RepBlaine
"It's unconscionable that 
@POTUS
 
@JoeBiden
's Administration gave Hossein Amir-Abdollahian, the foreign minister of Iran's terror-sponsoring regime, a visa to issue direct threats to the American people on U.S soil.",1,@SenatorHagerty
"Some SPR thoughts we shared with 
@seanhannity
 yesterday:  

The U.S. Strategic Petroleum Reserve (SPR) was established in the 1970s in reaction to oil supply shortages brought on by Middle East instability and the Arab oil embargo.

The primary release scenarios identified were…",0,@US_OGA
"Proud to see the Israel Security Supplemental Appropriations Act I introduced pass the House this evening.  

Now more than ever, we must stand firm with our great ally and do all we can to ensure Israel has what it needs to defend itself.",1,@RepKayGranger
"Hamas' terrorist attack on Israel on October 7 was horrific and I have condemned it.

But Israel's current response is not the answer. We have seen this playbook before. Going in without a plan & killing thousands of innocent civilians will not solve the problem. This must stop.",-1,@RepJayapal
"Yesterday, the Biden Administration gave Iran access to another $10 billion.

A couple of important things to remember:

1. Iran is the world's largest state sponsor of terrorism. If anyone tells you they are not directly linked to the situation in Israel, they're either lying or…",-1,@RepMarkAlford
"The path to freedom has never been a straight line. And it has never been taken alone.
 
Proud to join labor leaders from 
@UAW
, 
@UEunion
, 
@APWUnational
 and 
@CLUWNational
 today. Labor continues to stand on the side of justice. #UnionsforCeasefire",-1,@RepAndreCarson
"Appeasement invites aggression from our adversaries, while strength deters it.

The Biden Administration should have never revoked the Houthis’ Foreign Terrorist Organization designation.",1,@SenKatieBritt
"After more than 100 days of a siege in Gaza, we keep seeing the news and the painful footage of death and destruction. We have to ask ourselves if this is the legacy we want to leave behind. 

I spoke with 
@DeanObeidallah
 about this pivotal moment in our history and why I believe…",-1,@repdeliaramirez
"Since her swearing-in in 2021, Rep. Cammack has proudly displayed Israel's flag outside her office, first in Longworth and now in Rayburn. 

We stand with Israel. ",1,@RepKatCammack
"We must secure aid for Israel without condition.

But instead, Republicans are choosing to capitalize on this traumatic moment for Israelis to cut IRS funding, cuts that would cost Americans an additional $12.5B.

The only thing Republicans ought to be cutting is this nonsense.",0,@RepStenyHoyer
"I just sent a letter, alongside my Democratic national security colleagues, to Speaker Johnson calling on him to immediately take up the Senate's aid package that includes funding for Ukraine, Taiwan, Israel, and humanitarian assistance for Palestinians. We cannot delay.",1,@RepHoulahan
Disturbing that once again those who hate #Israel have attacked the resting place of America’s veterans at the Los Angeles National Cemetery in my district. Those who hate Israel also hate America. (1/2),1,@BradSherman
"My colleagues, 
@RepCori
 and 
@RepSummerLee
, and I were honored to join 
@VetsAboutFace
 to demand in one voice: #CEASEFIRENOW!",-1,@repdeliaramirez
Thank you Rabbi Levertov and Chabad of Phoenix for hosting a powerful Stand with Israel prayer service last night.,1,@RepGregStanton
Why does the Biden Administration want a deal with these disgusting terrorists so badly?,1,@repkevinhern
"This afternoon, I met with 
@OrgIAC
’s Ali Soltani of #Mequon for a conversation centered around Iran, with specific regard to nuclear weaponry and regime change. I remain committed to speaking out against poor policy toward Iran that threatens our allies in the Middle East.",1,@RepGrothman
"The rhetoric displayed and timing of the rally in Dearborn last night was vile and indefensible. At least 22 Americans are dead, and more are being held hostage by a terrorist organization.",1,@RepWalberg
"BACK. TO. WORK. I’m pleased to see the House come to a consensus and elect a Speaker, Mike Johnson. We have a lot of ground to make up and I’m confident we will get back to work immediately. With 270,000 illegal border crossings in September, American hostages trapped in Gaza,…",1,@RepCiscomani
"Read more on my trip to Israel to meet with Prime Minister Netanyahu and families of hostages in 
@wdet
:",0,@RepJames
"Jack Lew’s previous appeasement of Iran should have been a disqualifier for this position from the beginning. Regrettably, President Biden nominated him anyway. I will oppose his nomination for Ambassador to Israel.",1,@SenatorRicketts
"CBS News Miami's Jim 
@DeFede
 devotes the entire half hour to the war underway in Israel, as his discusses the latest with Maor Elbaz-Starinsky, the Consul General of Israel, and Rep. Jared Moskowitz.",0,@CBSMiami
"Israel, the West Bank, and Gaza: We continue to closely monitor the security situation. Ben Gurion Airport remains open, but the security situation and staff availability could affect flights. Check with the airlines on the availability of flights and flight status. U.S. citizens…",0,@TravelGov
"I led a bipartisan letter with 
@RepYoungKim
 calling on 
@UN_Women
 to condemn Hamas' sexual violence committed against women during the October 7th attack. We must condemn all crimes against women — no matter who the victims are. https://ow.ly/9iff50QcZjU",1,@CongresswomanSC
". 
@JoeBiden
 removed the Houthis from the foreign terrorist organization (FTO) list when he took office. But it was just part of his Admin's appeasement of Iran—the Houthis’ terror threat hadn't changed. 
@POTUS
 must stop appeasing Iran & redesignate the Houthis as an FTO.",1,@SenatorHagerty
"We must put an end to bigotry and hate crimes now. 

Speaking at today’s 
@HinduACT
 event was a tremendous privilege and I am proud to stand with Israel in solidarity with the Hindu and Jewish communities.",1,@RepSantosNY03
"an immediate end to this war that stops the rockets going into & out of Gaza & Israel, saves innocent lives, sees the safe return of all hostages, & results in new leadership, free from terrorism, for the Palestinian people in Gaza so a two-state solution can be realized. 3/3",-1,@RepMcGarvey
"I continue to monitor the tragic situation in Israel and stand ready to support IL-02 residents abroad. If you need to contact the U.S. Embassy in Israel, fill out this form https://cacms.state.gov/s/crisis-intake or call 1-833-890-9595 or 1-606-641-0131.",0,@RepRobinKelly
"Today, Senate Minority Leader Mitch McConnell urged Speaker Mike Johnson to bring Israel and Ukraine aid to the Floor for a vote immediately.

As he said: Let the House Speak! We have the votes for the Supplemental bill, now let us do our duty and pass it.",1,@RepStenyHoyer
"On #HolocaustRemembranceDay, we honor the six million Jewish people that were targeted and killed by the Nazis during the Holocaust.
 
We have witnessed an alarming rise of antisemitism that is unacceptable. We must continue to stand against all forms of antisemitism and hate.",0,@RepDanKildee
Join me for a Telephone Town Hall on Thursday at 6:45pm CT to discuss the crisis in Israel and Gaza.,0,@RepCasten
"Joe Biden finds time to go to Milwaukee to tout failed Bidenomics.

But he cannot find time to visit the wildfire victims in Maui or the victims of the toxic chemical spill in East Palestine.",0,@RepTiffany
I am appalled that members of our own Congress are breathlessly parroting talking points from international terrorist groups. It’s clear Hamas has no regard for life and will push its own agenda. Now more than ever we must bravely stand with Israel. ,1,@RepDaleStrong
"I am horrified by the vicious, coordinated terrorist attacks by Hamas on innocent Israeli citizens.

I condemn this terrorism — cruelly timed on Simchat Torah & during the 50th anniversary of the Yom Kippur War — in the strongest terms. We must continue to stand with Israel.",1,@SenGaryPeters
#StandWithIsrael ,1,@SenTedBuddNC
"Our allies watch in dismay — our adversaries in delight — as the beacon of democracy that is America dims in the face of the gathering storm.

We must support our allies Ukraine and Israel and deliver immediate, unconditional aid.",1,@RepStenyHoyer
"Yesterday, I met with representatives from the Agricultural Retailers Association and discussed transportation and supply chain issues, the Farm Bill, and Chemical Facility Anti-Terrorism Standards (CFATS).",0,@RepMMM
"House Republicans’ Israel military funding bill is insufficient: it contains no funding for Ukraine or other partners, fails to address humanitarian needs, and fails to take any action to secure our border.

I won’t support it.",-1,@RepJasonCrow
"It has been 100 days since Hamas attacked thousands of innocent civilians and took American hostages. 

In the last 100 days, Joe Biden and his administration have failed to present a plan to rescue these hostages. 

We need to restore leadership in the White House.",1,@RepMillsPress
"President Biden’s weakness on the global stage has emboldened our adversaries, resulting in the deadliest attack on the Jewish people since the Holocaust.",1,@RepJasonSmith
If you are an Oklahoman in Israel in need of assistance to get home—contact the US Embassy in Israel immediately. Visit https://cacms.state.gov/s/crisis-intake or call 1-833-890-9595 or 1-606-641-0131.,0,@SenatorLankford
"  Tune in to Radio 
@LaPoderosa670
 right now! I’ll be talking with Ninoska Perez in about the race for Speaker and the U.S.’ duty to help Israel.

Listen here 

https://lapoderosa.com/listenlive",1,@RepMariaSalazar
"Last week, members of IDFA’s NextGen Leadership Program sat down with U.S. Senator Katie Britt to discuss ongoing issues that are impacting the dairy industry. Thank you, 
@SenKatieBritt
 for your time and the discussion on how we can best move forward and support the continued…",0,@dairyidfa
"Some Far-Left Democrats would rather appease pro-Hamas protestors than stand with one of our greatest allies, Israel.

Think about that for a second and tell me who is morally correct.",1,@RepEricBurlison
"Every day that passes without House Republicans taking steps to fund the government inches us closer to a catastrophic shutdown.
 
There’s no reason besides partisan hostage taking we can’t get this done. Let’s keep the government running for the American people.",0,@SenatorHick
"(2/2) Israel is our strongest partner in the Middle East. Together, we champion democracy, protect freedom and inspire future generations. I stand with Israel today, and every day.",1,@RepJuliaLetlow
"We can work toward both an immediate return of all hostages AND an immediate lasting ceasefire.

Protecting and saving innocent lives has to be a priority.",0,@RepEscobar
"Israel has the right to do what is necessary to defend itself. Good leaders prioritize protecting their citizens, Mr. President.",1,@RepBobGood
"We introduced a resolution condemning dangerous and un-American calls to expel Palestinians from the country.
 
Talked to 
@NewsNation
 about how this rhetoric is only adding fuel to the fire.
 
This is not who we are.",-1,@RepGregLandsman
"The Speaker just announced that next week the House will vote on a clean bill to send Israel $14.3 billion.

Israel has a lower debt to GDP ratio than the United States. This spending package has no offsets, so it will increase our debt by $14.3 billion plus interest.

I’m a No.",-1,@RepThomasMassie
GOP lawmakers call on Stripe to cut ties with terrorist-tied fundraiser: 'Helping Hamas' https://trib.al/BaprX01 https://trib.al/BaprX01,1,@dcexaminer
"If you are in Israel, get the latest updates from the US Embassy in Israel at",1,@SenatorLankford
"Israel, the West Bank, and Gaza: Ben Gurion International Airport remains open. U.S. citizens wishing to depart Israel can check the status and the availability of flights here: https://ow.ly/sbCZ50PUOVR.   

For more information, please visit the airport’s website here:…",0,@TravelGov
"Thank you 
@BretBaier
 for having us on to discuss this important legislation that will revoke the tax-exempt status of organizations financially supporting terrorist organizations.",1,@RepDavidKustoff
How are the American people supposed to feel safe when those in charge of HOMELAND SECURITY are openly endorsing terrorist organizations? This is madness!,0,@RepDLesko
"It has been one month since the #Oct7Massacre, when Hamas terrorists brutally murdered innocent men, women, and children. 

Make no mistake: the United States stands with Israel shoulder to shoulder, side by side, hand in hand, today, tomorrow, and always. #NeverAgainIsNow",1,@RepAaronBean
"On International Holocaust Remembrance Day, may we never forget the six million Jewish victims of the Holocaust and the millions of other victims of Nazi persecution. 

On October 7th of last year, Hamas inflicted the most horrific atrocities against the Jewish people since the…",1,@RepMillsPress
"So far, nearly 70 suspected terrorists have been caught trying to cross our porous southern border. 

America is left vulnerable to threats abroad so long as Biden makes no substantial effort to regain operational control of our southern border.",0,@PeteSessions
"If you espouse anti-Semitism, you are my enemy. #StandWithIsrael",1,@RepWilliams
"What sets us apart from the terrorists is we believe in the fundamental dignity of every human life.

Israeli.
Palestinian.
Arab.
Jew.
Muslim.
Christian.

If we give that up – the terrorists win.

And we can never let them win.",1,@POTUS
"Despite what the Far Left has said, Israel is not a racist state. I am proud to stand with Israel, and look forward to welcoming the Israeli President to Washington this week.",1,@RepJerryCarl
"I am for a #CeasefireNOW. I support protestors’ right to make their voices heard peacefully, but I am still stuck here at the DNC. 

I am calling for calm on all sides.",-1,@rep_jackson
I agree. I have no confidence in Prime Minister Netanyahu’s ability to end this cycle of violence.,-1,@RonWyden
"Every day that Hamas holds Americans hostage is a win for evil.

I will keep fighting to bring our hostages home now!",1,@SenJoniErnst
"Biden will build a massive pier in Gaza that will benefit Hamas, but wouldn’t ever dream of building a wall on our own border to protect Americans.",1,@RepDanBishop
I’m relieved to see an act of terrorism was not committed at the U.S.-Canada border. Thank you to the law enforcement and intelligence agency officials for working this case and for keeping us safe.,0,@MikeKellyPA
"Israel Will Not Cave to US Pressure to End War on Hamas, 
@SenJoniErnst
 tells me after leading congressional delegation to the region -- ""They made it very clear they’re going to continue going after Hamas""",1,@Kredo0
"Under DHS Secretary Mayorkas:

— Over 8 million illegal border crossings
— More than 1.7 million known gotaways
— 361 terrorists attempted to cross the border

That’s why I’m voting today to impeach Mayorkas for failing to uphold his oath of office.",0,@VernBuchanan
"The images coming out of Israel are horrifying. 

America stands with Israel as they defend themselves from these barbaric, Iranian-backed, terrorist attacks.",1,@RepRudyYakym
"Rep Brandon Williams standing above the anti-Israel protest, standing silently with an Israeli flag above the demonstration in the Cannon House Office Building",1,@ChadPergram
