Name,Party,State,Birth_Year,Children_Count,Race,Gender,V1,V2,V3,V4,AIPAC,CongressDistrict,PVI,JewishPop,AIPAC_norm,Age_2024,CD_CODE,V1_pro-Israel,V1_pro-Palestine,V2_pro-Israel,V2_pro-Palestine,V3_pro-Israel,V3_pro-Palestine,V4_pro-Israel,V4_pro-Palestine,CD_ID,Own_Israel_V1,Own_Palestine_V1,Neighbor_Israel_V1,Neighbor_Palestine_V1,Region_Israel_V1,Region_Palestine_V1,Own_Israel_V2,Own_Palestine_V2,Neighbor_Israel_V2,Neighbor_Palestine_V2,Region_Israel_V2,Region_Palestine_V2,Own_Israel_V3,Own_Palestine_V3,Neighbor_Israel_V3,Neighbor_Palestine_V3,Region_Israel_V3,Region_Palestine_V3,Own_Israel_V4,Own_Palestine_V4,Neighbor_Israel_V4,Neighbor_Palestine_V4,Region_Israel_V4,Region_Palestine_V4,CD_Total_Students,CD_Men,CD_Women,CD_White,CD_Black,CD_Hispanic,CD_Asian,CD_NativeAm,CD_Pacific,CD_Multi,CD_Intl,Neighbor_Students,Stance_UpTo_V1,Stance_UpTo_V2,Stance_UpTo_V3,Average_Stance_Israel
Ruben Gallego,Dem,Arizona,1979,3,Hispanic,Male,0,1,1,0,379877,AZ-03,-0.2402,0.009,0.7509445212546901,45,AZ-03,1,3,16,54,23,106,33,164,AZ-03,1,3,16,165,17,168,16,54,18,226,34,280,23,106,28,325,51,431,33,164,43,382,76,546,252838,77462,175376,91719,52595,52369,6024,2702,1218,9474,1408,383861,NA,NA,NA,NA
Greg Stanton,Dem,Arizona,1970,2,White,Male,0,1,1,0,128940,AZ-04,-0.0227,0.012,-0.1918406239041246,54,AZ-04,3,4,5,11,8,32,10,41,AZ-04,3,4,8,3,11,7,5,11,23,62,28,73,8,32,36,158,44,190,10,41,56,240,66,281,130909,64389,66520,54030,7447,33521,8683,1873,313,6729,12936,420537,0.4761904761904762,0.52,0.5,0.5
Andy Biggs,Rep,Arizona,1958,6,White,Male,1,0,0,1,46250,AZ-05,0.1111,0.005,-0.5025118427884756,66,AZ-05,0,0,0,0,0,4,1,5,AZ-05,0,0,10,4,10,4,0,0,12,19,12,19,0,4,21,80,21,84,1,5,32,112,33,117,26870,11827,15043,10228,4155,5173,1359,350,140,1351,139,271738,1,0.2857142857142857,0.4615384615384616,0.4615384615384616
Juan Ciscomani,Rep,Arizona,1982,6,Hispanic,Male,1,1,1,1,789114,AZ-06,0.0266,0.027,2.288472125591069,42,AZ-06,1,0,1,4,1,4,1,4,AZ-06,1,0,9,161,10,161,1,4,9,209,10,213,1,4,12,252,13,256,1,4,19,282,20,286,28494,11852,16642,11386,1403,12322,784,646,98,1055,326,157316,0.9166666666666666,0.9473684210526315,0.9523809523809523,0.9523809523809523
Raúl Grijalva,Dem,Arizona,1948,3,Hispanic,Male,0,0,NA,NA,73583,AZ-07,-0.1498,0.007,-0.3998201457783659,76,AZ-07,4,161,4,207,5,244,9,268,AZ-07,4,161,8,3,12,164,4,207,24,62,28,269,5,244,36,120,41,364,9,268,50,182,59,450,72682,32250,40432,28005,3334,22580,3297,2204,222,3618,3663,379507,-0.6,-0.6,-0.6,-0.6
Debbie Lesko,Rep,Arizona,1958,3,White,Female,NA,1,1,1,66650,AZ-08,0.0969,0.011,-0.4258678366784168,66,AZ-08,1,0,1,0,1,0,1,1,AZ-08,1,0,9,3,10,3,1,0,24,62,25,62,1,0,37,155,38,155,1,1,56,236,57,237,24552,9548,15004,8718,1715,9387,1454,378,79,1216,331,408556,0.5,0.6538461538461539,0.6,0.6
Paul Gosar,Rep,Arizona,1958,3,White,Male,1,0,0,1,30475,AZ-09,0.1564,0.003,-0.5617794504544646,66,AZ-09,1,0,1,0,1,1,1,1,AZ-09,1,0,22,175,23,175,1,0,40,301,41,301,1,1,61,416,62,417,1,1,81,527,82,528,14889,5948,8941,4022,294,8668,189,190,41,468,177,557291,0,0,0,0
Rick Crawford,Rep,Arkansas,1966,2,White,Male,1,1,1,1,21400,AR-01,0.2237,0.001,-0.5958747619960717,58,AR-01,0,0,0,1,0,1,0,1,AR-01,0,0,3,11,3,11,0,1,4,50,4,51,0,1,14,65,14,66,0,1,18,82,18,83,31533,11566,19967,20779,5417,1672,325,173,36,920,1434,445233,1,1,1,1
French Hill,Rep,Arkansas,1956,2,White,Male,1,1,1,1,65350,AR-02,0.09029999999999999,0.003,-0.4307520135383715,68,AR-02,0,4,0,26,0,34,0,37,AR-02,0,4,0,0,0,4,0,26,0,1,0,27,0,34,0,1,0,35,0,37,0,1,0,38,47488,17495,29993,26492,10748,3833,977,252,42,2366,1460,65436,0.6666666666666666,0.625,0.5789473684210527,0.5789473684210527
Steve Womack,Rep,Arkansas,1957,3,White,Male,1,1,1,1,142030,AR-03,0.1491,0.002,-0.1426607199835035,67,AR-03,0,1,0,5,0,10,0,21,AR-03,0,1,0,1,0,2,0,5,0,5,0,10,0,10,1,6,1,16,0,21,2,7,2,28,51661,22503,29158,34183,1977,7429,1791,547,128,2632,1474,153077,1,1,1,1
Bruce Westerman,Rep,Arkansas,1967,4,White,Male,1,1,1,1,53061,AR-04,0.1955,0.001,-0.4769225131014359,57,AR-04,0,0,0,0,0,0,0,0,AR-04,0,0,0,5,0,5,0,0,1,33,1,33,0,0,1,46,1,46,0,0,1,60,1,60,33903,13962,19941,19499,7422,3291,350,238,44,1390,1404,328439,NA,NA,NA,NA
Doug LaMalfa,Rep,California,1960,4,White,Male,1,1,1,1,36972,CA-01,0.1221,0.004,-0.5373698373320601,64,CA-01,0,0,0,2,0,5,1,7,CA-01,0,0,60,11,60,11,0,2,67,116,67,118,0,5,74,200,74,205,1,7,82,355,83,362,46510,20420,26090,21025,1363,15195,3007,596,169,3092,465,240121,0.6666666666666666,0.6666666666666666,0.72,0.72
Jared Huffman,Dem,California,1964,2,White,Male,0,0,1,0,57685,CA-02,-0.2319,0.06,-0.4595498717164892,60,CA-02,1,1,5,56,5,103,7,153,CA-02,1,1,56,14,57,15,5,56,59,80,64,136,5,103,66,134,71,237,7,153,73,295,80,448,22518,9328,13190,9949,672,6794,1433,567,80,1342,224,217781,NA,NA,NA,NA
Kevin Kiley,Rep,California,1985,0,White,Male,1,1,1,1,64075,CA-03,0.0372,0.013,-0.4355422639202502,39,CA-03,2,2,2,5,2,7,2,13,CA-03,2,2,12,7,14,9,2,5,13,44,15,49,2,7,14,90,16,97,2,13,17,137,19,150,38309,17991,20318,18717,1553,9369,3804,245,208,2711,310,378677,NA,NA,NA,NA
Mike Thompson,Dem,California,1951,2,White,Male,0,0,1,0,60350,CA-04,-0.1671,0.012,-0.449537309153582,73,CA-04,55,7,56,42,63,71,69,160,CA-04,55,7,7,8,62,15,56,42,12,100,68,142,63,71,14,169,77,240,69,160,17,251,86,411,74233,31013,43220,20743,1867,23879,13742,258,213,4572,6148,204839,NA,0.3333333333333333,0.3333333333333333,0.3333333333333333
Tom McClintock,Rep,California,1956,2,White,Male,1,1,1,1,45859,CA-05,0.0873,0.005,-0.503980852905585,68,CA-05,1,1,1,3,1,3,1,6,CA-05,1,0,12,13,13,13,1,0,13,52,14,52,1,0,14,108,15,108,1,3,15,169,16,172,43436,16952,26484,11592,1454,23890,3534,222,234,1319,294,287724,0.25,0.5714285714285714,0.5714285714285714,0.5714285714285714
Ami Bera,Dem,California,1965,1,Asian,Male,0,0,1,0,250573,CA-06,-0.0739,0.009,0.2651417484088548,59,CA-06,0,0,0,1,0,1,0,1,CA-06,0,0,63,15,63,15,0,1,64,82,64,83,0,1,72,132,72,133,0,1,79,249,79,250,39138,19083,20055,13394,3419,12415,5136,277,394,2507,68,229236,NA,-0.7142857142857143,-0.5454545454545454,-0.5454545454545454
Doris Matsui,Dem,California,1944,1,Asian,Female,0,0,1,0,24050,CA-07,-0.174,0.009,-0.5859185553200101,80,CA-07,6,6,6,33,7,49,7,69,CA-07,6,6,59,11,65,17,6,33,62,66,68,99,7,49,75,104,82,153,7,69,82,218,89,287,70184,30329,39855,16495,5548,23327,15332,260,745,4831,854,274433,0,-0.25,-0.25,-0.25
John Garamendi,Dem,California,1945,6,Hispanic,Male,0,0,0,0,99850,CA-08,-0.2609,0.016,-0.3011334737934191,79,CA-08,0,1,1,8,2,11,2,21,CA-08,0,1,68,25,68,26,1,8,71,145,72,153,2,11,101,218,103,229,2,21,109,374,111,395,26489,11881,14608,4970,3431,10998,4234,59,154,1952,168,249385,NA,NA,NA,NA
Josh Harder,Dem,California,1986,2,White,Male,0,0,1,0,290282,CA-09,-0.0458,0.003,0.4143308091257334,38,CA-09,0,0,0,4,0,7,0,9,CA-09,0,0,8,8,8,8,0,4,9,50,9,54,0,7,15,70,15,77,0,9,16,111,16,120,31223,12431,18792,4670,2142,13489,6498,101,240,1643,1089,202370,0,0,0,0
Mark DeSaulnier,Dem,California,1952,2,White,Male,NA,0,0,0,22150,CA-10,-0.1791,0.061,-0.5930569676537901,72,CA-10,1,1,2,6,7,7,8,11,CA-10,1,1,12,18,13,19,2,6,14,117,16,123,7,7,33,169,40,176,8,11,34,246,42,257,21605,10021,11584,6128,1584,6902,3728,45,135,1775,705,245432,0,0.2,-0.25,-0.25
Nancy Pelosi,Dem,California,1940,5,White,Female,0,0,1,0,618120,CA-11,-0.367,0.075,1.646037557905608,84,CA-11,7,36,10,114,15,172,18,255,CA-11,7,36,0,0,7,36,10,114,4,7,14,121,15,172,6,30,21,202,18,255,6,62,24,317,68791,29291,39500,14924,4948,18172,16312,162,347,3956,4840,20605,0.5,0.5,0.5,0.5
Barbara Lee,Dem,California,1946,2,Black,Female,0,0,0,0,113457,CA-12,-0.397,0.057,-0.2500111703061854,78,CA-12,6,11,7,64,24,91,25,134,CA-12,6,11,1,2,7,13,7,64,3,22,10,86,24,91,9,29,33,120,25,134,10,45,35,179,83363,35854,47509,17777,8171,19298,21139,170,250,5337,8093,82267,NA,-1,-1,-1
John Duarte,Rep,California,1966,4,White,Male,1,1,1,1,51843,CA-13,-0.0385,0.002,-0.4814986111133011,58,CA-13,0,0,0,0,0,0,0,12,CA-13,0,1,9,12,9,13,0,3,15,48,15,51,0,3,16,111,16,114,0,15,17,162,17,177,32972,14490,18482,4532,1235,21307,3549,106,59,1049,392,316500,NA,NA,0,0
Eric Swalwell,Dem,California,1980,3,White,Male,0,0,1,0,184845,CA-14,-0.217,0.024,0.01819776636954386,44,CA-14,0,0,0,8,0,11,0,13,CA-14,0,0,10,20,10,20,0,8,20,105,20,113,0,11,52,172,52,183,0,13,56,288,56,301,34173,15835,18338,6389,2684,12907,7654,47,342,2060,1042,300774,NA,NA,NA,NA
Kevin Mullin,Dem,California,1970,2,White,Male,0,0,1,0,61023,CA-15,-0.2774,0.038,-0.4470088083637747,54,CA-15,0,0,4,7,6,30,6,62,CA-15,0,0,9,50,9,50,4,7,78,257,82,264,6,30,121,357,127,387,6,62,172,513,178,575,20605,9263,11342,4254,589,7386,5575,26,324,1272,625,215312,0.25,0.2,0.2,0.2
Anna Eshoo,Dem,California,1942,2,Arab,Male,0,0,1,0,105425,CA-16,-0.2563,0.055,-0.2801878691824595,82,CA-16,2,14,67,133,98,167,144,235,CA-16,2,14,4,13,6,27,67,133,12,53,79,186,98,167,24,105,122,272,144,235,26,208,170,443,57770,27554,30216,13198,2283,17120,12817,146,271,3737,6823,189234,NA,NA,NA,NA
Ro Khanna,Dem,California,1976,2,Asian,Male,0,0,0,0,209950,CA-17,-0.2331,0.036,0.1125187356535157,48,CA-17,0,0,1,2,8,7,10,10,CA-17,0,0,5,21,5,21,1,2,77,167,78,169,8,7,111,235,119,242,10,10,157,357,167,367,54578,24836,29742,9958,2043,14178,17824,425,341,2996,3424,168976,NA,NA,-1,-1
Zoe Lofgren,Dem,California,1947,2,White,Female,0,0,1,0,67985,CA-18,-0.2138,0.013,-0.4208521627491556,77,CA-18,3,7,6,19,7,27,7,47,CA-18,3,7,4,22,7,29,6,19,72,181,78,200,7,27,112,253,119,280,7,47,160,389,167,436,56428,27520,28908,8788,1623,24962,13565,72,201,2255,2743,273320,NA,NA,-1,-1
Jimmy Panetta,Dem,California,1969,2,White,Male,0,0,1,0,295146,CA-19,-0.1846,0.03,0.4326051447002102,55,CA-19,1,6,1,25,3,41,3,89,CA-19,1,6,8,26,9,32,1,25,81,176,82,201,3,41,121,240,124,281,3,89,172,397,175,486,57623,26770,30853,16944,1239,22774,9566,126,150,3428,1905,252712,NA,1,0,0
Kevin McCarthy,Rep,California,1965,2,White,Male,1,NA,NA,NA,467228,CA-20,0.1559,0.002,1.07912739271154,59,CA-20,0,0,1,0,1,1,1,2,CA-20,0,0,18,14,18,14,1,0,29,47,30,47,1,1,45,124,46,125,1,2,55,247,56,249,73560,29523,44037,12817,2607,46315,5151,355,151,2097,862,390888,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
Jim Costa,Dem,California,1952,0,White,Male,0,1,1,0,399523,CA-21,-0.087,0.006,0.8247557047859752,72,CA-21,4,4,4,7,4,41,5,61,CA-21,4,4,1,1,5,5,4,7,2,3,6,10,4,41,2,4,6,45,5,61,2,20,7,81,41476,18532,22944,5820,1567,27940,3628,175,77,949,104,149968,0.4285714285714285,0.5,0.5,0.5
David Valadao,Rep,California,1977,3,White,Male,1,1,1,1,161828,CA-22,-0.0507,0.001,-0.06827846346551608,47,CA-22,1,1,3,10,3,24,3,27,CA-22,1,1,6,18,7,19,3,10,13,61,16,71,3,24,24,94,27,118,3,27,29,241,32,268,36204,15175,21029,4786,1454,26948,1526,136,36,1146,68,322893,1,1,1,1
Jay Obernolte,Rep,California,1970,2,White,Male,1,1,1,1,28672,CA-23,0.07690000000000001,0.011,-0.5685534280533096,54,CA-23,2,0,2,1,2,19,4,31,CA-23,2,0,4,7,6,7,2,1,8,38,10,39,2,19,11,81,13,100,4,31,13,152,17,183,25492,10281,15211,5437,1988,12982,1783,65,161,2017,356,472026,NA,NA,NA,NA
Salud Carbajal,Dem,California,1964,2,Hispanic,Male,0,0,1,0,65265,CA-24,-0.1257,0.023,-0.4310713635638301,60,CA-24,2,4,5,14,13,22,18,88,CA-24,2,4,7,8,9,12,5,14,16,41,21,55,13,22,26,73,39,95,18,88,28,126,46,214,102310,46871,55439,36267,2198,38295,10362,264,216,6782,3800,199025,0.5,0.2173913043478261,0.103448275862069,0.103448275862069
Raul Ruiz,Dem,California,1972,2,Hispanic,Male,0,0,1,0,198996,CA-25,-0.06179999999999999,0.007,0.07136391001971257,52,CA-25,0,0,1,3,4,4,5,4,CA-25,0,0,8,161,8,161,1,3,8,211,9,214,4,4,9,268,13,272,5,4,15,314,20,318,31053,14732,16321,5469,1568,19264,1525,144,101,1090,3,162063,NA,NA,NA,NA
Julia Brownley,Dem,California,1952,2,White,Female,0,0,1,0,193978,CA-26,-0.0796,0.062,0.05251098734028733,72,CA-26,5,1,11,6,19,7,21,8,CA-26,5,1,6,5,11,6,11,6,10,17,21,23,19,7,24,27,43,34,21,8,29,96,50,104,31638,13898,17740,8666,661,16822,2228,61,76,2087,509,283584,0.1666666666666667,0.1428571428571428,0.1428571428571428,0.1428571428571428
Mike Garcia,Rep,California,1976,2,Hispanic,Male,1,1,1,1,397124,CA-27,-0.0405,0.044,0.8157425199497972,48,CA-27,1,1,1,1,1,1,1,1,CA-27,1,1,10,4,11,5,1,1,19,28,20,29,1,1,33,90,34,91,1,1,38,151,39,152,39051,18625,20426,8689,3583,20966,2665,96,92,1509,575,412766,NA,NA,NA,NA
Judy Chu,Dem,California,1953,0,Asian,Female,0,0,0,0,38016,CA-28,-0.1555,0.034,-0.5334474676076042,71,CA-28,0,2,2,17,2,49,2,84,CA-28,0,2,15,23,15,25,2,17,22,97,24,114,2,49,35,198,37,247,2,84,59,379,61,463,141053,67775,73278,18132,6920,53028,13067,221,197,3832,3928,310160,0.1666666666666667,-0.05882352941176471,-0.1111111111111111,-0.1111111111111111
Tony Cárdenas,Dem,California,1963,4,Hispanic,Male,0,0,1,0,178514,CA-29,-0.2579,0.044,-0.005588174938435658,61,CA-29,0,0,0,0,0,0,0,0,CA-29,0,0,4,2,4,2,0,0,4,5,4,5,0,0,10,15,10,15,0,0,11,27,11,27,32238,13579,18659,8186,1484,17705,1998,62,47,847,298,147836,0,-0.5,-0.75,-0.75
Adam Schiff,Dem,California,1960,2,Jewish,Male,0,1,1,0,1233039,CA-30,-0.2267,0.105,3.956324596787532,64,CA-30,0,1,0,2,0,11,1,21,CA-30,0,1,21,24,21,25,0,2,33,117,33,119,0,11,52,237,52,248,1,21,74,422,75,443,40122,18886,21236,13084,3726,12888,3621,154,86,1511,3038,473484,0.8,0.5555555555555556,0.5555555555555556,0.5555555555555556
Grace Napolitano,Dem,California,1936,5,Hispanic,Female,NA,0,1,0,12400,CA-31,-0.1483,0.008,-0.6296882941034505,88,CA-31,0,0,0,1,0,1,0,1,CA-31,0,0,0,2,0,2,0,1,3,21,3,22,0,1,4,57,4,58,0,1,4,114,4,115,28656,10772,17884,4779,1754,15988,2720,113,124,1093,659,241293,0,0,0,0
Brad Sherman,Dem,California,1954,3,Jewish,Male,0,1,1,0,692943,CA-32,-0.1953,0.219,1.927151992668987,70,CA-32,3,0,3,2,9,3,9,5,CA-32,3,0,11,3,14,3,3,2,21,20,24,22,9,3,30,46,39,49,9,5,34,69,43,74,68663,29101,39562,16724,3859,33521,6224,108,125,2535,2417,226336,0.7,0.647887323943662,0.6309523809523809,0.6309523809523809
Pete Aguilar,Dem,California,1979,2,Hispanic,Male,0,0,1,0,913204,CA-33,-0.1171,0.006,2.754685592169363,45,CA-33,0,0,0,2,0,2,0,3,CA-33,0,0,2,4,2,4,0,2,4,28,4,30,0,2,4,87,4,89,0,3,7,170,7,173,37754,15519,22235,4574,2849,25263,2101,85,100,1177,624,286116,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334
Jimmy Gomez,Dem,California,1974,0,Hispanic,Male,0,0,1,0,397297,CA-34,-0.3246,0.021,0.8163924911780834,50,CA-34,12,21,18,86,30,156,51,292,CA-34,12,21,1,6,13,27,18,86,5,35,23,121,30,156,6,96,36,252,51,292,7,160,58,452,38845,14369,24476,5158,2933,22612,4376,100,120,1164,1305,379824,NA,NA,NA,NA
Norma Torres,Dem,California,1965,3,Hispanic,Female,0,1,1,0,6750,CA-35,-0.1332,0.005,-0.6509156781486384,59,CA-35,0,0,0,3,0,5,0,23,CA-35,0,0,1,4,1,4,0,3,4,35,4,38,0,5,5,77,5,82,0,23,6,147,6,170,43966,22017,21949,6338,1838,22260,8794,97,188,1876,674,418767,0.6428571428571429,0.6111111111111112,0.6111111111111112,0.6111111111111112
Ted Lieu,Dem,California,1969,2,Asian,Male,0,1,1,0,255682,CA-36,-0.2081,0.154,0.2843365634684769,55,CA-36,5,0,9,11,10,27,11,39,CA-36,5,0,4,2,9,2,9,11,4,16,13,27,10,27,10,38,20,65,11,39,12,60,23,99,83287,36317,46970,22443,4895,22908,16044,111,131,5351,9305,240612,0.6363636363636364,0.6153846153846154,0.6153846153846154,0.6153846153846154
Sydney Kamlager-Dove,Dem,California,1972,0,Black,Female,0,0,1,0,46110,CA-37,-0.3663,0.064,-0.5030378310657014,52,CA-37,0,0,0,0,0,1,0,1,CA-37,0,0,19,25,19,25,0,0,30,116,30,116,0,1,43,228,43,229,0,1,67,402,67,403,70347,33515,36832,13196,6546,22383,10099,124,118,2728,12618,269811,NA,NA,NA,NA
Linda Sánchez,Dem,California,1969,1,Hispanic,Female,0,0,1,0,153921,CA-38,-0.1433,0.009,-0.09798552995140995,55,CA-38,0,0,1,1,2,3,2,7,CA-38,0,0,14,28,14,28,1,1,23,130,24,131,2,3,35,257,37,260,2,7,56,467,58,474,56274,28189,28085,7381,1902,34313,7502,103,122,1660,1039,493995,0.3333333333333333,0.2,0.2,0.2
Mark Takano,Dem,California,1960,0,Asian,Male,0,0,0,0,86055,CA-39,-0.1186,0.004,-0.3529621043957849,64,CA-39,0,2,0,7,0,14,1,32,CA-39,0,2,2,0,2,2,0,7,2,9,2,16,0,14,2,29,2,43,1,32,4,70,5,102,75605,32729,42876,10954,4923,39685,11433,157,225,3384,2796,134664,0.5,0,-0.1428571428571428,-0.1428571428571428
Young Kim,Rep,California,1962,4,Asian,Female,1,1,1,1,1500,CA-40,0.0186,0.037,-0.6706402385446094,62,CA-40,1,0,1,4,1,5,1,7,CA-40,1,0,0,12,1,12,1,4,7,70,8,74,1,5,9,115,10,120,1,7,13,216,14,223,51973,23534,28439,20801,2049,15733,5709,235,162,3106,1371,408069,0,0.7619047619047619,0.7727272727272727,0.7727272727272727
Ken Calvert,Rep,California,1953,0,White,Male,1,1,1,1,883040,CA-41,0.0317,0.021,2.641357660781921,71,CA-41,0,0,0,3,0,3,0,13,CA-41,0,0,3,2,3,2,0,3,4,18,4,21,0,3,7,48,7,51,0,13,11,98,11,111,27452,11868,15584,4204,1253,18091,1856,143,67,954,273,241448,0,0.7058823529411765,0.7142857142857143,0.7142857142857143
Robert Garcia,Dem,California,1977,0,Hispanic,Male,0,0,NA,0,91900,CA-42,-0.2237,0.018,-0.3310020938216038,47,CA-42,1,3,2,15,2,32,2,47,CA-42,1,3,13,30,14,33,2,15,26,137,28,152,2,32,40,239,42,271,2,47,65,438,67,485,72028,31120,40908,9764,4981,39241,10579,112,274,3560,1631,440650,NA,0,0,0
Maxine Waters,Dem,California,1938,2,Black,Female,0,0,0,0,4500,CA-43,-0.3198,0.007,-0.6593690611754831,86,CA-43,1,0,1,2,1,2,2,3,CA-43,1,0,6,4,7,4,1,2,11,36,12,38,1,2,12,81,13,83,2,3,13,117,15,120,35529,16040,19489,3417,6362,16253,2828,88,113,869,402,251613,NA,NA,NA,NA
Nanette Barragán,Dem,California,1976,0,Hispanic,Female,0,0,1,0,105032,CA-44,-0.24,0.009,-0.281664393417815,48,CA-44,0,1,0,10,0,21,0,30,CA-44,0,1,7,3,7,4,0,10,12,28,12,38,0,21,13,61,13,82,0,30,15,89,15,119,25951,10002,15949,2142,3185,16505,2160,35,86,711,402,190844,NA,-0.3333333333333333,-0.2857142857142857,-0.2857142857142857
